category,title,author,tenlong,books
Swift,Swift開發指南,關東升、趙志榮 著、林耕溥 譯,260,380
Swift,iOS8SwiftProgramming錦囊妙計,Vandad Nahavandipoor 著、黃銘偉 譯,780,948
Swift,學會Swift程式設計的18堂課,蔡明志,293,428
Swift,提升iOS8App程式設計進階實力的30項關鍵技巧最新Swift開發教學,Simon Ng 著、王豪勳 譯,384,466
Swift,從零開始學Swift程式設計,莊智佐,351,356
Swift,iOS11程式設計實戰Swift4快速上手的開發技巧200,朱克剛,458,458
Swift,學會Swift3程式設計的21堂課,蔡明志,356,428
Swift,王者歸來OpenStack雲端系統NovaSwiftQuantumHadoop,戢友,616,702
Swift,Swift權威指南,李寧,314,287
Swift,Swift程式設計範例經典讓您設計出專業級的iOSOSX應用程式,"Paul J. Deitel, Harvey Deitel 著、林耕溥 譯",312,456
Swift,用Swift語言一次搞定所有蘋果裝置的程式開發,老鎮,427,427
