category,title,author,tenlong,books
C#,C沉思錄,"Andrew Koenig, Barbara E. Moo 著、黃曉春 譯、孟岩、陳錦輝 審校",406,411
C#,大型C軟體設計,John Lakos 著、陳逸宏 譯,774,774
C#,精通CC指標深入系統底層技術,蔡明志,537,537
C#,C並行程式設計實戰手冊,Anthony Williams 著、莊弘祥 譯,537,537
R,R錦囊妙計,Paul Teetor 著、張夏菁 譯,537,537
R,R軟體資料分析基礎與應用,Jared P. Lander 著、鍾振蔚 譯,514,618
R,SQLServer與R開發實戰講堂,楊志強,537,537
R,實用R程式設計,郭英勝、鄭志宏、謝哲光、龔志銘,319,399
R,R資料科學,"Hadley Wickham, Garrett Grolemund 著、黃銘偉 譯",616,616
R,R數據可視化手冊,常 (Winston Chang),507,465
R,R語言資料分析活用範例詳解,方匡南/朱建平/姜葉飛 著、H&C 譯,411,411
R,R語言編程藝術,麥特洛夫 (Norman Matloff),393,360
R,實戰R語言預測分析,游皓麟,395,494
R,機器學習與R語言實戰,丘祐瑋 (Yu-Wei Chiu),393,327
R,巨量資料的第一步基礎R語言與商業應用,韓偉 著、胡嘉璽,379,432
R,量化投資以R語言為工具,蔡立耑,564,594
R,R語言深入淺出財經計量,何宗武,452,458
R,投資學及其R語言應用,朱順泉,190,166
R,統計分析與R,陳正昌、賈俊平,585,514
R,R財經計量入門手冊,何宗武,475,475
R,自動化交易R語言實戰指南,[美]Chris Conlan 康蘭,393,327
R,R語言預測實戰,游皓麟,450,474
R,R語言金融演算法與台指期貨程式交易實務,酆士昌 著,390,395
R,大數據分析SQLServer2016與R全方位應用,謝邦昌/宋龍華/李紹綸,395,395
R,R語言邁向BigData之路,"洪錦魁, 蔡桂宏",458,458
R,R語言期貨演算法交易實務120個關鍵技巧詳解,酆士昌、劉承彥 著,390,395
R,金融科技實戰R語言與量化投資,蔡立耑,507,514
R,金融資料採礦R及Excel實例演練,謝邦昌、鄭宇庭,589,490
R,R語言與商業智能,"韓偉, 毛俊傑",170,179
